longitude,latitude,2014,2015,2016,2017,2018,2019,2020,2021,2022
121.1833357,14.02916618,1.240758061,1.884503245,2.441782951,2.847435474,2.177426338,2.807992697,2.73877883,3.379009962,5.62853384
121.1750024,14.02499951,9.13069725,18.93991852,23.44327164,18.20070457,13.62345409,15.98314667,13.01978588,18.26458359,17.71392822
121.1791691,14.02499951,8.659265518,16.3143959,13.90602016,10.72394562,9.463659286,12.67313862,11.05933952,14.17288494,17.55686188
121.1833357,14.02499951,2.535264254,5.08363533,6.033047199,4.479784966,3.8845222,4.34190321,5.630104542,6.489178658,9.632143974
121.1791691,14.02083285,13.17771053,20.41026878,15.38202381,11.77593136,10.3292408,16.95790291,15.81863403,16.93715096,19.39887238
121.1833357,14.02083285,5.63211441,9.452368736,8.043640137,5.807634354,5.337156773,6.744864941,7.90312624,9.24967289,10.91572762
121.1875024,14.02083285,1.391062975,2.085793495,2.105949879,2.557025194,2.343833447,3.021297693,3.435445547,3.3460567,5.117520809
121.1791691,14.01666618,16.23649406,20.74860191,15.93944836,11.75925255,11.97937584,20.77203751,19.12784386,16.86866188,19.77583885
121.1833357,14.01666618,7.323973179,11.66005039,7.106767178,5.983769894,6.207849503,10.79161263,11.64754772,11.66966248,11.391675
121.1875024,14.01666618,1.774752378,2.127744675,2.358723164,2.635239601,2.71696043,5.144726276,6.942587376,5.905590534,6.556910515
121.1750024,14.01249951,26.21602058,32.21860886,32.52830505,19.39676094,23.0626049,29.2203064,27.00989151,24.16381454,26.5543251
121.1791691,14.01249951,13.25172615,19.32523727,17.79449081,13.38874722,14.76348591,20.35266495,17.75225258,19.64637375,20.83146286
121.1833357,14.01249951,4.606499195,8.04539299,7.223776817,6.557998657,5.937059402,10.69815159,12.08080482,10.91862965,11.68438721
121.1875024,14.01249951,1.587849855,2.186759949,2.094784021,2.566862822,2.756865025,5.278769493,7.544267178,6.051693916,6.373077393
121.1916691,14.01249951,1.034046292,1.261879921,1.310987115,1.596555829,1.764757395,2.369876146,3.443351746,3.249657393,3.513323307
121.1666691,14.00833285,9.312617302,13.45909119,11.74420261,9.747132301,13.85320759,31.13497734,21.62969971,14.51553631,15.69224548
121.1708357,14.00833285,19.68081284,22.27093315,24.53983688,16.32999229,24.00795555,41.79865646,31.69027519,23.61925697,22.48506737
121.1750024,14.00833285,23.67726135,33.35105896,39.32216263,22.00177193,27.52163887,35.05566788,28.4422245,28.3808136,29.41667557
121.1791691,14.00833285,12.81305313,18.19526863,21.48803139,15.96837234,16.53107834,16.76787376,17.09758377,25.47616768,25.0264492
121.1833357,14.00833285,3.47939992,5.215061188,5.149008274,6.054715157,6.028095245,7.644110203,8.364783287,10.77991581,10.47853184
121.1875024,14.00833285,2.255558491,2.785103798,2.62374568,3.214502573,3.437625885,4.906406403,5.655207634,5.040237427,5.296328545
121.1916691,14.00833285,1.544879913,1.829668283,1.7661376,2.477366447,2.625792265,3.194339514,3.612730742,3.837031126,3.376287699
121.1625024,14.00416618,3.099865198,3.739860058,4.396966934,3.584377527,4.171600819,5.377061844,4.603168488,4.557791233,5.463806629
121.1666691,14.00416618,4.548992157,6.359905243,6.58016777,5.485310078,7.927834988,15.44809341,9.460713387,8.203304291,11.23822403
121.1708357,14.00416618,11.31116199,13.35868073,14.61486435,10.53252983,15.85676193,24.37674141,20.61475945,13.326828,16.3033886
121.1750024,14.00416618,20.10686684,25.20533562,27.25992775,16.22536659,25.44027519,34.32831192,25.85940552,25.06869507,26.28151512
121.1791691,14.00416618,13.24069595,16.21081734,15.5890131,10.28312111,19.19139862,17.80442047,18.29573631,21.71129417,22.13987732
121.1833357,14.00416618,4.37030077,5.370845795,5.265474796,5.186122894,7.07775259,7.371771812,7.77750349,9.454423904,9.960053444
121.1875024,14.00416618,3.336181641,4.134328365,4.253713608,3.969002247,5.343395233,5.927093029,5.72844553,5.604438305,5.341315746
121.1916691,14.00416618,2.579103708,3.349130392,3.318076134,3.349118948,4.653595448,5.216542244,4.981648922,4.613096714,4.492997169
121.1958357,14.00416618,1.802734494,2.464926958,2.606888056,2.569764137,3.13841629,3.503332853,3.496440172,3.21564889,3.377602816
121.1416691,13.99999951,0.553438365,0.71105212,0.703928947,0.909446716,1.140727758,1.030524135,1.033665657,1.395752907,1.627570748
121.1541691,13.99999951,0.903041244,1.904515862,4.402993679,3.80633831,3.675188065,3.92589879,2.260913849,2.572626591,2.846227646
121.1583357,13.99999951,0.889783502,1.350654721,2.879649639,2.916032553,2.727494001,2.590605259,1.929455161,2.427636623,3.385247946
121.1625024,13.99999951,1.431735277,2.002160072,2.122559309,2.198886156,2.713734627,2.672392607,2.262156248,3.024364233,6.376852036
121.1666691,13.99999951,2.729503632,3.698386192,4.043109894,3.812045097,4.729779243,5.474240303,5.541764736,6.622366428,9.646139145
121.1708357,13.99999951,4.026591778,5.272689342,7.703934193,6.518323421,8.548175812,14.72524929,11.77950382,10.63515091,13.69075012
121.1750024,13.99999951,7.087141991,8.123415947,9.256316185,8.017529488,16.9369297,24.47943306,18.88079834,18.47852135,17.85379219
121.1791691,13.99999951,7.093141079,6.319898129,5.796683311,6.107824802,11.50278854,12.84488297,13.14429474,14.70410824,12.54122639
121.1833357,13.99999951,4.253888607,4.700609684,4.476019382,4.292273045,5.464111805,6.420753956,6.440770626,6.43794632,6.300396442
121.1875024,13.99999951,3.582798958,4.116434097,4.231133461,4.232155323,5.100728035,5.631968975,5.263808727,4.913874149,4.81508255
121.1916691,13.99999951,3.075284958,3.78415513,3.79836297,4.130054951,4.980157852,5.298803329,4.724156857,4.29240799,4.239762783
121.1958357,13.99999951,2.300732851,3.257611513,3.272660971,6.123195171,5.287487507,5.513039589,4.778868198,4.415975094,4.536415577
121.1375024,13.99583285,0.585219324,0.833504736,0.794896185,1.021110415,1.042119861,1.128338575,1.097651958,1.392460585,1.63871038
121.1416691,13.99583285,0.567258596,0.743850231,0.76595825,0.968427122,1.117861509,1.13592875,1.104765892,1.508846879,1.686371446
121.1458357,13.99583285,0.484082103,0.629997075,0.656479359,0.923458636,1.047786355,0.956756532,0.972369015,1.274607301,1.429207325
121.1541691,13.99583285,0.692783535,1.929493546,5.154466152,4.142233372,4.273915291,4.407382488,2.395081282,2.412902832,2.681966782
121.1583357,13.99583285,0.766835511,1.402305841,2.857982397,2.796648264,3.187350988,2.972497463,2.055662394,2.23610425,3.756912947
121.1625024,13.99583285,1.995258331,2.151490927,1.990177512,2.375298977,3.040801287,3.236970425,2.487172842,3.408381939,5.270349026
121.1666691,13.99583285,5.021729946,5.847702503,5.749772549,5.769640923,9.60837841,8.267278671,8.085598946,8.796431541,10.66574383
121.1708357,13.99583285,5.799055576,6.116889954,8.948171616,7.967906475,11.89599037,14.44626522,13.29481316,12.1832695,14.52291679
121.1750024,13.99583285,4.074004173,3.719228268,5.702617645,5.14868784,9.116877556,13.88729,12.75545692,11.48127651,12.00445175
121.1791691,13.99583285,3.116482019,2.965894461,3.262242556,3.323310614,5.793985367,6.587053776,7.346295834,7.312271118,7.204126358
121.1833357,13.99583285,3.062174797,3.567121029,3.246748924,3.265573263,4.168589115,4.522101402,4.641423702,4.142342567,4.32816267
121.1875024,13.99583285,2.169792652,2.693162918,2.825425625,2.830466509,3.488114357,3.678888798,3.837699175,3.443800926,3.645851374
121.1916691,13.99583285,1.911093354,2.260287046,2.461870193,2.687627316,3.290391684,3.410021782,3.102678537,2.729214668,2.908924818
121.1958357,13.99583285,1.5585922,2.196801901,2.391430378,7.103320122,6.57595253,5.493298531,4.79037571,4.219709873,4.320505142
121.1333357,13.99166618,0.431609273,0.516952217,0.523438513,0.751331151,0.831952512,0.807929039,0.806254923,1.051112771,1.110674739
121.1375024,13.99166618,0.587806046,0.772666216,0.881607473,1.278487563,1.260298252,1.180256009,1.105538487,1.341836214,1.484609485
121.1416691,13.99166618,0.553531289,0.702272534,0.827020884,1.14870286,1.122658134,1.069439173,1.058887601,1.454594612,1.611042976
121.1458357,13.99166618,0.44598344,0.560020387,0.615331829,0.892017066,0.972101748,0.839344501,0.966164351,1.14795053,1.34128046
121.1500024,13.99166618,0.595336199,0.782678962,1.286469936,1.065476537,1.35911417,1.315626264,1.101731896,1.294027567,1.38781178
121.1541691,13.99166618,0.798116624,1.379886031,2.116119623,1.807046175,2.072783947,2.189513683,1.395008326,1.74860394,2.005057573
121.1583357,13.99166618,1.078144431,1.460405588,1.66148746,1.589031935,2.031433582,2.036231518,1.73240912,2.062031031,2.4246068
121.1625024,13.99166618,2.948456049,2.674364567,3.04599905,2.754911184,3.445288897,3.84878993,3.035670996,3.073825598,4.055222034
121.1666691,13.99166618,7.280807972,7.310476303,7.331151485,6.078467369,9.617730141,8.336091995,7.590414047,7.080507278,9.95749855
121.1708357,13.99166618,6.884372234,7.205505848,8.210427284,6.672983646,10.38695621,10.70394802,9.12634182,8.036842346,11.78009987
121.1750024,13.99166618,4.263337612,4.286554337,4.727606773,4.466231346,5.15723896,6.965722084,6.33562851,5.998500824,6.134457111
121.1791691,13.99166618,2.278024435,2.33641386,2.474359035,2.842875957,3.573203564,3.573063612,3.514927387,3.221774817,3.208708048
121.1833357,13.99166618,1.621509552,1.770400524,1.84028995,2.80486536,3.822743177,3.007100105,3.041699409,2.89145112,3.112878084
